,group1,group2,mean_rank_diff,z_stat,p_value_raw,p_value_holm,significant
23,Beige,Red,15235.481480016344,23.59643063500969,4.19344361744093e-123,4.067640308917702e-121,True
24,Metal,Pink,-27414.200018312855,23.4190962155686,2.7308264328439848e-121,2.621593375530225e-119,True
25,Black,Pink,13119.37362343735,23.40604204713192,3.7091081686421297e-121,3.523652760210023e-119,True
26,Khaki green,Pink,19662.25774181816,23.116865447993483,3.13331162837559e-118,2.9453129306730546e-116,True
27,Khaki green,White,15632.451638141712,21.372987811043966,2.3837953795178074e-101,2.2169297029515607e-99,True
28,Black,Blue,-7530.688926608316,21.337713108294544,5.071528167598776e-101,4.665805914190874e-99,True
29,Green,Red,16019.224400475505,19.68905136662622,2.676550697435898e-86,2.435661134666667e-84,True
30,Beige,Black,9177.48447504123,19.384258395715875,1.0480480218208015e-83,9.432432196387214e-82,True
31,Brown,Red,15608.400101812367,18.01780242626371,1.4124361206555256e-72,1.2570681473834178e-70,True
32,Beige,Orange,15261.282693050322,17.713763008968353,3.283668716206992e-70,2.889628470262153e-68,True
33,Grey,Pink,12353.457360395725,17.674486447930004,6.593810935195365e-70,5.736615513619967e-68,True
34,Blue,Orange,13614.487144617407,16.982710695974923,1.1027309613106819e-64,9.483486267271864e-63,True
35,Green,Orange,16045.025613509482,16.14755208770115,1.18158560628686e-58,1.004347765343831e-56,True
36,Beige,Grey,9943.400738082855,15.751409656777263,6.716721819124728e-56,5.642046328064772e-54,True
37,Mole,Pink,19590.242296427547,15.677973892316908,2.1397125385272538e-55,1.7759614069776206e-53,True
38,Khaki green,Red,12600.881123355925,15.353396691187212,3.36116870567201e-53,2.756158338651048e-51,True
39,Grey,White,8323.651256719277,15.195988019187272,3.759520670670722e-52,3.0452117432432844e-50,True
40,Blue,Grey,8296.605189649941,15.175158846823525,5.165254579309781e-52,4.1322036634478253e-50,True
41,Brown,Orange,15634.201314846345,15.073255520014895,2.4284579042907428e-51,1.918481744389687e-49,True
42,Pink,Turquoise,-20954.24881411408,14.778125381517238,2.0273055638823025e-49,1.581298339828196e-47,True
43,Beige,Yellow,12177.02388639994,14.673415955426288,9.541790320587678e-49,7.347178546852512e-47,True
44,Black,Green,-9961.227395500391,14.541869206804316,6.577184904992733e-48,4.998660527794477e-46,True
45,Blue,Yellow,10530.228337967026,13.719807815484975,7.726994672489832e-43,5.795246004367374e-41,True
46,Green,Yellow,12960.766806859101,13.412617518438003,5.10062844169581e-41,3.7744650468548997e-39,True
47,Green,Grey,10727.143658542016,13.371617889927045,8.859265480367551e-41,6.467263800668313e-39,True
48,Mole,White,15560.436192751098,13.280320835935019,3.0110128723162055e-40,2.1679292680676679e-38,True
49,Black,Brown,-9550.403096837254,12.788528957977048,1.900369486711014e-37,1.34926233556482e-35,True
50,Beige,Lilac Purple,23406.058925353864,12.752077446461163,3.0354679829442287e-37,2.12482758806096e-35,True
51,Lilac Purple,Metal,26304.99919143757,12.726181950354595,4.230245932874691e-37,2.9188696936835366e-35,True
52,Green,Lilac Purple,24189.801845813025,12.724382618204835,4.328828038310834e-37,2.9436030660513666e-35,True
53,Khaki green,Orange,12626.682336389902,12.633222619396852,1.3848814947873372e-36,9.27870601507516e-35,True
54,Turquoise,White,16924.44271043763,12.53827910674124,4.608955959214045e-36,3.0419109330812695e-34,True
55,Brown,Yellow,12549.942508195963,12.412729981340178,2.229201226607714e-35,1.4489807972950141e-33,True
56,Brown,Lilac Purple,23778.977547149887,12.35793110011468,4.4137037850570435e-35,2.824770422436508e-33,True
57,Brown,Grey,10316.319359878878,12.057426645219198,1.77234455411144e-33,1.116577069090207e-31,True
58,Blue,Lilac Purple,21759.26337692095,12.034088140407313,2.352185515480037e-33,1.458355019597623e-31,True
59,Black,Red,6057.997004975114,11.783463451780296,4.750036438879242e-32,2.8975222277163374e-30,True
60,Pink,Yellow,-10119.83421207864,11.46799795499014,1.9102769229061585e-30,1.146166153743695e-28,True
61,Khaki green,Lilac Purple,20771.458568693444,10.908728808107988,1.0471027572017567e-27,6.177906267490364e-26,True
62,Mole,Red,12528.86567796531,10.190842349416286,2.1786817349830624e-24,1.2636354062901762e-22,True
63,Lilac Purple,Turquoise,-22063.44964098936,9.954354333244236,2.413846352992842e-23,1.37589242120592e-21,True
64,Red,Turquoise,-13892.872195651842,9.921856002429957,3.344777859794813e-23,1.8730756014850953e-21,True
65,Pink,Red,-7061.376618462236,9.918025056841923,3.475650803364288e-23,1.9116079418503585e-21,True
66,Khaki green,Yellow,9542.42352973952,9.814206872862494,9.780405089446579e-23,5.2814187483011525e-21,True
67,Lilac Purple,Mole,-20699.44312330283,9.797576298508888,1.1531943963994487e-22,6.1119303009170785e-21,True
68,Black,Khaki green,-6542.884118380811,9.435462904742051,3.8927156925448276e-21,2.0242121601233105e-19,True
69,Mole,Orange,12554.666890999288,9.263324666081571,1.9816369920812007e-20,1.0106348659614124e-18,True
70,Orange,Turquoise,-13918.67340868582,9.205719795289122,3.3938885962989395e-20,1.6969442981494698e-18,True
71,Grey,Khaki green,-7308.800381422436,9.029406206124508,1.7260582353811183e-19,8.45768535336748e-18,True
72,Grey,Red,5292.080741933489,7.99032128988865,1.3458753456348645e-15,6.46020165904735e-14,True
73,Black,Lilac Purple,14228.574450312633,7.933745434988668,2.1263372416230934e-15,9.993785035628539e-14,True
74,White,Yellow,-6090.028108402192,7.927097837337428,2.243265534909268e-15,1.0319021460582632e-13,True
75,Black,Orange,6083.798218009091,7.922523948180329,2.3273724621910167e-15,1.0473176079859575e-13,True
76,Orange,Pink,7035.575405428259,7.711933560283894,1.2392564708596975e-14,5.452728471782669e-13,True
77,Grey,Lilac Purple,13462.658187271009,7.311136830326005,2.648916178682827e-13,1.1390339568336156e-11,True
78,Turquoise,Yellow,10834.414602035438,7.251299232989845,4.127925640469944e-13,1.7337287689973766e-11,True
79,Mole,Yellow,9470.408084348906,7.091842488785278,1.3233808909616443e-12,5.425861652942742e-11,True
80,Pink,White,-4029.8061036764484,6.6403742573165685,3.1288766048314315e-11,1.2515506419325725e-09,True
81,Grey,Turquoise,-8600.791453718353,6.171421296839118,6.767881826411153e-10,2.6394739123003496e-08,True
82,Grey,Orange,5317.881954967466,6.083898064039079,1.1729519455058255e-09,4.457217392922137e-08,True
83,Grey,Mole,-7236.784936031821,5.922452632956315,3.171751795855852e-09,1.1735481644666652e-07,True
84,Black,Turquoise,-7834.875190676728,5.892535006658552,3.8031549229460265e-09,1.3691357722605695e-07,True
85,Lilac Purple,Yellow,-11229.035038953924,5.852823166249461,4.8329791480255465e-09,1.6915427018089414e-07,True
86,Black,Mole,-6470.8686729901965,5.634836503494613,1.7522449599010825e-08,5.957632863663681e-07,True
87,Red,White,3031.570514785788,5.372394472660377,7.769790155401299e-08,2.5640307512824285e-06,True
88,Lilac Purple,Red,-8170.57744533752,4.425196540764919,9.635451744297331e-06,0.0003083344558175146,True
89,Lilac Purple,Orange,-8144.776232303542,4.214672668777529,2.5014071621392585e-05,0.0007754362202631701,True
90,Black,Yellow,2999.53941135871,4.096658913218392,4.191557861129143e-05,0.0012574673583387428,True
91,Orange,White,3005.7693017518104,3.7461110643995164,0.00017959710200795849,0.005208315958230796,True
92,Green,Khaki green,3418.3432771195803,3.6470632996298824,0.0002652545960237564,0.00742712868866518,True
93,Red,Yellow,-3058.4575936164038,3.582507082978243,0.0003403123864094754,0.009188434433055835,True
94,Blue,Green,-2430.538468892075,3.3634044967950643,0.0007698746880359197,0.020016741888933914,True
95,Beige,Khaki green,2634.6003566604195,3.310280493169971,0.0009320252239138069,0.023300630597845172,True
96,Beige,Blue,1646.795548432914,3.1281806276182897,0.0017589205047037761,0.04221409211289063,True
97,Brown,Khaki green,3007.5189784564427,3.058439821394532,0.0022249276144370284,0.051173335132051655,False
98,Orange,Yellow,-3084.2588066503813,3.0039026239861473,0.00266540618396169,0.058638936047157184,False
99,Lilac Purple,White,-5139.006930551732,2.8416678242328395,0.004487822446399424,0.09424427137438791,False
100,Grey,Yellow,2233.623148317085,2.6499799367770267,0.008049655094222964,0.15436151692012723,False
101,Green,Mole,3490.3587225101946,2.66416036955033,0.007718075846006362,0.15436151692012723,False
102,Blue,Brown,-2019.7141702289373,2.584529240240134,0.00975120357819801,0.17552166440756417,False
103,Brown,Mole,3079.534423847057,2.2922467298416707,0.021891409826940218,0.3721539670579837,False
104,Beige,Mole,2706.615802051034,2.2313703651518826,0.02565660618672954,0.41050569898767264,False
105,Beige,Brown,-372.9186217960232,0.4424853604065597,0.6581380216587597,1.0,False
106,Beige,Turquoise,1342.609284364502,0.96882171569068,0.33263414981938744,1.0,False
107,Brown,Green,-410.8242986631376,0.42031379678806896,0.6742562322987291,1.0,False
108,Blue,Turquoise,-304.18626406841213,0.22542267755948586,0.8216504714607581,1.0,False
109,Blue,Mole,1059.8202536181198,0.9048935019920968,0.3655218098386144,1.0,False
110,Beige,Green,-783.7429204591608,0.9939058892006317,0.3202686869719489,1.0,False
111,Black,Grey,765.9162630416249,1.5444770358311524,0.12247281027709586,1.0,False
112,Green,Turquoise,2126.3522048236628,1.444940252984695,0.1484746685044911,1.0,False
113,Brown,Turquoise,1715.5279061605252,1.142661242537244,0.25317926744748376,1.0,False
114,Blue,Khaki green,987.8048082275054,1.3519715051682506,0.1763844309872723,1.0,False
115,Khaki green,Mole,72.01544539061433,0.054783580927709394,0.956310881278387,1.0,False
116,Khaki green,Turquoise,-1291.9910722959175,0.8756122330749198,0.3812408728009039,1.0,False
117,Lilac Purple,Pink,-1109.2008268752834,0.596398851424772,0.5509088075889539,1.0,False
118,Orange,Red,-25.801213033977547,0.02916888200396606,0.9767298992320549,1.0,False
119,Mole,Turquoise,-1364.0065176865319,0.7855373265660855,0.43213859423279677,1.0,False
