,group1,group2,mean_diff,se,df,q_stat,p_value,ci_low,ci_high,significant
19,Brown,White,0.008425312534986983,0.00045323697768289876,4095.9146118171466,26.28909784705814,0.0,0.006871526398766216,0.009979098671207748,True
20,Green,White,0.006521689185186776,0.00031219067793682257,5941.395323502237,29.54303874870835,0.0,0.005451646863730081,0.007591731506643472,True
21,Green,Red,0.006097642464341642,0.00034145252066656846,7818.169770991878,25.254956837746857,0.0,0.004927426226897484,0.0072678587017858,True
22,Green,Orange,0.005477906696096858,0.00042232325075219744,7197.56918996531,18.34360274798169,0.0,0.004030491478703313,0.006925321913490404,True
23,Lilac Purple,Metal,0.008730954079668413,0.0009250776534849948,771.216492972355,13.347456427477152,0.0,0.005550996139172215,0.011910912020164612,True
24,Khaki green,Red,0.005026158410522202,0.00036284387688717275,7112.11704996185,19.58986176582599,0.0,0.0037825896329876916,0.0062697271880567135,True
25,Khaki green,White,0.005450205131367337,0.0003354532374498915,5512.103496055613,22.97713408011593,0.0,0.0043003908870792385,0.006600019375655435,True
26,Khaki green,Metal,0.015040413801166545,0.0004673058468412977,4284.723208463267,45.51699347459022,0.0,0.013438441212734185,0.016642386389598904,True
27,Khaki green,Pink,0.006934284027712959,0.0003742958061892103,7634.314204470276,26.200022429269445,0.0,0.0056514980437137,0.008217070011712218,True
28,Khaki green,Orange,0.004406422642277419,0.0004397985712242183,7309.693385786742,14.16926536371035,0.0,0.002899123087473289,0.005913722197081549,True
29,Grey,Pink,0.004258552025068495,0.0002950015217350207,14967.168981438677,20.415155808358396,0.0,0.0032476905151287982,0.005269413535008191,True
30,Grey,Red,0.0023504264078777377,0.0002803287824852467,16590.96186324168,11.857522705701868,0.0,0.0013898591603103067,0.0033109936554451685,True
31,Grey,Metal,0.01236468179852208,0.0004065750875142369,3014.445551185959,43.00878541478606,0.0,0.010970547209009614,0.013758816388034547,True
32,Mole,Orange,0.006769281876247073,0.0007595648425852053,2016.407357870062,12.60354574118024,0.0,0.004163653154066948,0.009374910598427199,True
33,Mole,White,0.007813064365336991,0.0007043045089705426,1516.5139976193252,15.688301648535447,0.0,0.005395984254774983,0.010230144475899,True
34,Turquoise,White,0.007386503902064197,0.0007250706038628238,1118.8772130479028,14.407002492128717,0.0,0.0048966549617226515,0.009876352842405742,True
35,Red,Turquoise,-0.006962457181219062,0.0007381423880694701,1201.0911586772634,13.339433600167746,0.0,-0.00949679453722902,-0.004428119825209105,True
36,Khaki green,Yellow,0.003788797676241122,0.0004213587791688277,7741.030118681414,12.716405409654419,0.0,0.0023447242684313477,0.0052328710840508965,True
37,Metal,Orange,-0.010633991158889126,0.00046710623748819817,4076.6757704240017,32.195533504166825,0.0,-0.01223532861992739,-0.009032653697850862,True
38,Beige,Lilac Purple,0.008341003483797835,0.0008879656366171968,660.6506218081146,13.284253088358405,7.4495964952348e-14,0.005286913065653345,0.011395093901942325,True
39,Blue,Grey,0.0027774316700560353,0.00024619384087119333,15698.441458565592,15.954426489543405,1.5432100042289676e-13,0.001933822865401902,0.0036210404747101686,True
40,Mole,Pink,0.009297143261682614,0.0007236113026835987,1686.9182300143596,18.170177888647846,1.9839685450051547e-13,0.0068142308568678546,0.011780055666497372,True
41,Green,Lilac Purple,0.0073809437753175715,0.0009032925085501521,706.49542899151,11.555759282141594,2.554623179662485e-13,0.004274922930575622,0.01048696462005952,True
42,Metal,Turquoise,-0.016976712571863405,0.0007947158363606761,1559.0195210816125,30.210417441263722,3.6415315207705135e-13,-0.019703946121500945,-0.014249479022225866,True
43,Metal,Red,-0.010014255390644343,0.00039550111610971584,2719.637153464763,35.808485017241644,4.2510439612897244e-13,-0.011370543316084262,-0.008657967465204424,True
44,Orange,Turquoise,-0.006342721412974279,0.0007788589662584943,1472.8724781433255,11.516799617359014,4.305444889496357e-13,-0.009015797107903244,-0.0036696457180453138,True
45,Metal,White,-0.009590208669799209,0.00037053249299505496,2128.28907945672,36.603006276696725,4.3431924723336124e-13,-0.010861206488883146,-0.008319210850715271,True
46,Lilac Purple,Mole,-0.008672318955467787,0.0011020522573673222,1337.3281381537631,11.128792670273498,4.389821839367869e-13,-0.012455277646558885,-0.004889360264376688,True
47,Beige,Metal,0.017071957563466248,0.00041935011050106915,3380.2579973425086,57.57335772169864,4.488631688559508e-13,0.015634150802518298,0.0185097643244142,True
48,Pink,Turquoise,-0.00887058279840982,0.000743838595799665,1237.9274869400253,16.865081444420394,4.894973315572315e-13,-0.01142431456466274,-0.006316851032156899,True
49,Mole,Yellow,0.006151656910210777,0.0007490388425330616,1919.0988001036717,11.614560072833946,5.585532036889163e-13,0.0035819703458274278,0.008721343474594126,True
50,Brown,Lilac Purple,0.009284567125117778,0.0009611961790140981,897.5339775491195,13.66043793741751,7.436273818939299e-13,0.005982003396833682,0.012587130853401874,True
51,Metal,Yellow,-0.011251616124925423,0.00044978736602105894,3849.7645890999233,35.377134451883066,8.19455614475828e-13,-0.01279363834447698,-0.009709593905373867,True
52,Green,Metal,0.016111897854985985,0.0004508978813069562,3962.587257212603,50.53397988042317,8.613110225041964e-13,0.014566097879208416,0.017657697830763555,True
53,Green,Yellow,0.004860281730060562,0.0004030848119908321,7825.273472612929,17.052183895636706,1.0726974863928262e-12,0.003478841493593108,0.006241721966528015,True
54,Black,Brown,-0.0054303620040325705,0.0004434654671154201,3758.047225551614,17.317451220389206,1.0758061108617767e-12,-0.006950735469253505,-0.003909988538811636,True
55,Metal,Mole,-0.0174032730351362,0.0007758161646502902,2117.4821822073545,31.723939094599515,1.1320944182102721e-12,-0.020064488351603252,-0.014742057718669148,True
56,Mole,Red,0.007389017644491857,0.0007177545860773984,1634.309161606562,14.558804873073505,1.202260513366582e-12,0.004926080200359501,0.009851955088624213,True
57,Metal,Pink,-0.008106129773453586,0.00040603300897876275,2976.834280538956,28.23366182175108,1.326494469822137e-12,-0.009498420628619475,-0.006713838918287697,True
58,Blue,Pink,0.00703598369512453,0.0002452975945174536,12080.818668313643,40.56453788654286,1.4008794124720225e-12,0.006195404640886803,0.007876562749362258,True
59,Pink,Yellow,-0.003145486351471837,0.000352180735803267,7421.83567176727,12.630984623179016,1.8693935288638386e-12,-0.004352491268527495,-0.0019384814344161785,True
60,Beige,Black,0.0044867983627126275,0.0002474802977725279,12297.756155425455,25.639580820344275,3.931743819407529e-12,0.0036387428730050887,0.005334853852420166,True
61,Brown,Pink,0.009909391431332605,0.0004826926910098661,5132.7138094753645,29.03295620187434,5.0212056734721955e-12,0.00825483558805984,0.01156394727460537,True
62,Black,Khaki green,-0.0024552546004129247,0.00032212844813891023,4710.13223087093,10.779098757168958,8.241851645607312e-12,-0.0035594841186284473,-0.0013510250821974022,True
63,Beige,Red,0.007057702172821905,0.0002985555889272721,17418.633079326813,33.431288852630345,8.334777312768438e-12,0.006034686981392029,0.008080717364251781,True
64,Beige,Pink,0.008965827790012662,0.00031237335228221275,16140.070264016422,40.591155314305304,8.516853888806963e-12,0.007895452814769508,0.010036202765255816,True
65,Blue,White,0.0055519047987789075,0.00018056144068109205,40837.45674915055,43.484251309806915,1.0102474412576612e-11,0.004933254779610588,0.006170554817947227,True
66,Black,White,0.002994950530954412,0.00015061975625212863,39210.32564040332,28.120478779837182,1.545175098982554e-11,0.002478887085548818,0.003511013976360006,True
67,Turquoise,Yellow,0.005725096446937982,0.0007685972461914181,1402.644071238052,10.534137457912891,2.0553114765675673e-11,0.0030870084105024827,0.008363184483373481,True
68,Grey,White,0.002774473128722872,0.00024383892595473822,15215.379315929931,16.091350106290754,2.0774715281390854e-11,0.001938929329102912,0.003610016928342832,True
69,Beige,Grey,0.004707275764944167,0.0003130776399280037,18326.336891618765,21.263394058244188,2.254418873803843e-11,0.00363450792544868,0.005780043604439655,True
70,Lilac Purple,Turquoise,-0.008245758492194992,0.0011154379037840582,1303.3280115270572,10.454426420471389,3.132560877361357e-11,-0.012074857786563566,-0.004416659197826418,True
71,Blue,Lilac Purple,0.006411159388909703,0.0008666468545336128,599.6389427546515,10.461872111923823,5.641154210422883e-11,0.003429211886395539,0.009393106891423867,True
72,Beige,Blue,0.001929844094888132,0.00026676322961187877,15928.505920767899,10.230839146111826,7.535605472952511e-11,0.001015754308026263,0.002843933881750001,True
73,Grey,Khaki green,-0.0026757320026444646,0.00037488377924056976,7883.786570778288,10.09394563584792,1.2147616246238613e-10,-0.0039605193604645705,-0.0013909446448243585,True
74,Grey,Mole,-0.005038591236614119,0.0007239156130228964,1690.4407801770735,9.843197099063726,5.809190906091999e-10,-0.0075225399107395445,-0.002554642562488694,True
75,Black,Mole,-0.004818113834382579,0.0006980563759045585,1463.513013670002,9.761162801230398,9.112266496913435e-10,-0.007213898543004061,-0.0024223291257610977,True
76,Pink,Red,-0.001908125617190757,0.0002795419984238494,13945.052150771322,9.653279799664178,1.0938654426695393e-09,-0.0028660251294033634,-0.0009502261049781507,True
77,Khaki green,Lilac Purple,0.006309459721498132,0.0009115937752792013,732.2836531060459,9.788267264831347,1.172563490747791e-09,0.0031752966078839075,0.009443622835112356,True
78,Orange,Pink,0.0025278613854355404,0.00037404656546899276,6276.182974534045,9.55746205181647,1.8270482904370056e-09,0.0012458359384260947,0.0038098868324449864,True
79,Blue,Brown,-0.002873407736208075,0.00045450824350200584,4141.38817917692,8.940678742068403,3.41600355779903e-08,-0.004431541258415954,-0.0013152742140001958,True
80,Grey,Turquoise,-0.004612030773341325,0.0007441346343290834,1240.2287442147801,8.765075792530489,9.291903002583979e-08,-0.007166769031121718,-0.002057292515560931,True
81,Pink,White,-0.0014840788963456225,0.00024293399186589546,11687.266289110225,8.639402360795426,1.2361835854957093e-07,-0.002316564403341348,-0.0006515933893498973,True
82,Black,Turquoise,-0.004391553371109785,0.000719002950738569,1081.9412114523448,8.637786995073029,1.6784304246453274e-07,-0.006860760354474749,-0.0019223463877448203,True
83,Black,Orange,0.0019511680418644942,0.00032183881013436087,3785.6997053304917,8.573758727611953,1.7562570919782416e-07,0.0008477839629333068,0.0030545521207956815,True
84,Brown,Khaki green,0.002975107403619646,0.0005352608560936063,6527.296517313774,7.860536020552403,3.3545151211233915e-06,0.0011405572164132024,0.00480965759082609,True
85,White,Yellow,-0.0016614074551262147,0.00031058460144655107,5172.05655857749,7.565040071929018,1.0834897036349211e-05,-0.0027260135986685104,-0.0005968013115839189,True
86,Beige,Khaki green,0.0020315437622997028,0.00038870176398846166,8816.714337475347,7.3913653277992,2.0692392943444382e-05,0.0006994460206371396,0.0033636415039622657,True
87,Grey,Orange,0.0017306906396329542,0.00037463492969290897,6451.61276659916,6.53320334237755,0.00043855201726827886,0.00044666294305961197,0.0030147183362062967,True
88,Black,Yellow,0.0013335430758281974,0.0002961429675688454,4301.971651078764,6.3682575997910345,0.0007583741416714584,0.00031833692037211664,0.002348749231284278,True
89,Black,Lilac Purple,0.0038542051210852073,0.0008609068750948759,583.9179552210602,6.331310983903862,0.0009898871915774432,0.0008916654803558864,0.006816744761814528,True
90,Grey,Lilac Purple,0.0036337277188536674,0.0008820043981879761,643.1450616940003,5.826350789782219,0.0043702954605472355,0.0005998189082655528,0.0066676365294417814,True
91,Brown,Green,0.0019036233498002063,0.0005209974365974366,6203.418303591671,5.167261429383394,0.023455101255618227,0.0001179227159835768,0.003689323983616836,True
92,Red,Yellow,-0.0012373607342810802,0.0003399847042656676,6890.708795153294,5.146973702089995,0.02464546913923127,-0.0024025982189781058,-7.21232495840547e-05,True
93,Blue,Mole,-0.002261159566558084,0.0007051232706615115,1523.5624161241997,4.535040408914784,0.09813006996916795,-0.004681030543662349,0.00015871141054618057,False
94,Grey,Yellow,0.0011130656735966575,0.00035280556695975175,7719.2221497013825,4.461699924343635,0.11234899589163128,-9.606450672830025e-05,0.0023221958539216153,False
95,Orange,White,0.001043782489089918,0.0003351751141178771,4435.706022099122,4.404060116824101,0.12573842783213063,-0.00010520881007098151,0.0021927737882508173,False
96,Khaki green,Mole,-0.0023628592339696546,0.0007596876117741877,2024.4320056576946,4.398633757965838,0.12757020736723734,-0.0049688959074121394,0.0002431774394728299,False
97,Blue,Green,-0.0009697843864078688,0.0003140334454525553,6076.5506587602285,4.367312627670049,0.13464224968696592,-0.0020461324597527038,0.00010656368693696613,False
98,Lilac Purple,Yellow,-0.00252066204525701,0.0009027386838215622,704.614579567443,3.9488220837849757,0.2758620281836126,-0.005624808716295693,0.0005834846257816739,False
99,Beige,Green,0.0009600597084802633,0.0003688132402758628,9786.013581725229,3.6813468502519098,0.3962568620354874,-0.00030384260275111586,0.0022239620197116424,False
100,Green,Khaki green,0.0010714840538194395,0.0004225440160712074,8233.530084503462,3.5861525028024395,0.44497067887809916,-0.0003766225343815755,0.0025195906420204545,False
101,Blue,Turquoise,-0.0018345991032852893,0.0007258659422084426,1123.7869061266445,3.574372046565209,0.451920489619689,-0.004327154124331036,0.000657955917760457,False
102,Khaki green,Turquoise,-0.00193629877069686,0.0007789786946463503,1477.01805672549,3.515295092337583,0.4828284645496057,-0.004609772255429996,0.000737174714036276,False
103,Lilac Purple,Orange,-0.001903037079220713,0.000911491466628243,731.5298644208358,2.952634166821528,0.772557735031978,-0.005036859793324893,0.0012307856348834664,False
104,Beige,Brown,-0.000943563641319943,0.0004939473096912837,5618.7346785652635,2.7015037278992455,0.8716264058940013,-0.0026366241021405007,0.0007494968195006144,False
105,Red,White,0.0004240467208451344,0.00022488942364544813,15575.029330251498,2.666611057016531,0.8829104822290585,-0.0003465612847520262,0.001194654726442295,False
106,Green,Mole,-0.001291375180150215,0.0007497062173666486,1928.3023025944137,2.43599459571679,0.9410186031020549,-0.003863334791198855,0.001280584430898425,False
107,Orange,Red,0.0006197357682447835,0.00036258676424110185,5790.03681166632,2.4171834577963103,0.9448269214886097,-0.0006230546486792933,0.0018625261851688603,False
108,Lilac Purple,Red,-0.0012833013109759296,0.000876954724874526,628.5879689573758,2.069504920967273,0.9860669395394077,-0.004300119808473922,0.001733517186522063,False
109,Orange,Yellow,-0.0006176249660362967,0.00042113739253474454,6808.485944091393,2.0740347898618188,0.9861017457387443,-0.002061005466918173,0.0008257555348455793,False
110,Brown,Turquoise,0.0010388086329227858,0.0008364823310366136,1902.7587695950285,1.7562800825321367,0.9975260803715189,-0.0018308986050920417,0.003908515870937613,False
111,Green,Turquoise,-0.0008648147168774205,0.0007692476529622767,1408.5319665591812,1.589907615366976,0.9991997156655092,-0.003505114903730468,0.0017754854699756272,False
112,Lilac Purple,White,-0.0008592545901307952,0.0008659808225364203,597.7988035052482,1.4032291053918802,0.9998170701098807,-0.0038389497705836285,0.002120440590322038,False
113,Black,Grey,0.00022047740223153992,0.0002251561333731097,11622.83896597889,1.3848262881470774,0.9998521342227102,-0.0005510879335279186,0.0009920427379909984,False
114,Brown,Mole,0.0006122481696499912,0.0008185475862200585,2601.987425005954,1.057787817878124,0.9999955086191182,-0.002194908938314056,0.0034194052776140385,False
115,Lilac Purple,Pink,0.0006248243062148273,0.0008817546489903371,642.3720832430391,1.0021325194726045,0.9999977409764143,-0.0024082400217762014,0.003657888634205856,False
116,Beige,Mole,-0.0003313154716699518,0.0007311668948799347,1758.2880287531164,0.6408261051488467,0.9999999959894292,-0.0028399977124272807,0.002177366769087377,False
117,Mole,Turquoise,0.00042656046327279457,0.0009951501261385417,2396.4152084827692,0.606187525366956,0.9999999982159922,-0.0029865337998908493,0.0038396547264364384,False
118,Blue,Khaki green,0.00010169966741157069,0.0003371688894126554,5621.633539744713,0.4265667843578868,0.9999999999898989,-0.0010539846921501562,0.0012573840269732976,False
119,Beige,Turquoise,9.524499160284278e-05,0.0007511907663158063,1287.506148083891,0.17931098851689597,1.0,-0.0024835214955109893,0.002674011478716675,False
